filename,size,uploaded_by,timestamp
specs.txt,123,admin,2025-11-12 17:09:03.680641
file_tracking.py,3756,admin,2025-11-12 23:01:27.577086
file_tracking.py,3756,admin,2025-11-12 23:01:34.209387
